Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
Existing Customer,42,M,5,Uneducated,Unknown,$120K +,Blue,31,5,3,2,6748.0,1467,0.831,1201,42,0.68,0.217
Existing Customer,57,F,2,Graduate,Married,Less than $40K,Blue,48,5,2,2,2436.0,680,1.19,1570,29,0.611,0.279
Existing Customer,45,F,2,Graduate,Married,Unknown,Blue,37,6,1,2,14470.0,1157,0.966,1207,21,0.909,0.08
Attrited Customer,62,F,0,Graduate,Married,Less than $40K,Blue,49,2,3,3,1438.3,0,1.047,692,16,0.6,0.0
Existing Customer,47,F,4,Unknown,Single,Less than $40K,Blue,36,3,3,2,2492.0,1560,0.573,1126,23,0.353,0.626
Existing Customer,54,M,2,Unknown,Married,$80K - $120K,Blue,42,4,2,3,12217.0,0,1.075,1110,21,0.75,0.0
Existing Customer,41,F,3,Graduate,Single,Less than $40K,Blue,28,6,1,2,7768.0,1669,0.797,1051,22,0.833,0.215
Existing Customer,58,M,0,Graduate,Married,$80K - $120K,Blue,49,6,2,2,12555.0,1696,0.519,1291,24,0.714,0.135
Existing Customer,55,F,1,College,Single,Less than $40K,Blue,36,4,2,1,3520.0,1914,0.51,1407,43,0.483,0.544
Existing Customer,38,F,4,Graduate,Single,Unknown,Blue,28,2,3,3,9830.0,2055,0.977,1042,23,0.917,0.209
Existing Customer,46,M,3,High School,Married,$80K - $120K,Blue,40,4,3,3,19458.0,1435,0.787,1217,27,0.8,0.074
Existing Customer,52,M,1,College,Single,$80K - $120K,Blue,40,5,1,1,4745.0,1227,0.624,1140,40,0.6,0.259
Attrited Customer,54,F,1,Graduate,Married,Less than $40K,Blue,40,2,3,1,1438.3,808,0.997,705,19,0.9,0.562
Attrited Customer,56,M,2,Graduate,Married,$120K +,Blue,36,1,3,3,15769.0,0,1.041,602,15,0.364,0.0
Existing Customer,49,F,4,Graduate,Unknown,Less than $40K,Blue,36,6,4,2,3298.0,2200,0.678,1052,32,0.6,0.667
Existing Customer,55,M,3,Unknown,Married,$80K - $120K,Blue,47,4,2,3,3436.0,2016,0.901,1097,33,0.833,0.587
Existing Customer,39,M,1,High School,Divorced,$60K - $80K,Blue,33,5,3,3,5926.0,1251,0.944,1316,28,1.154,0.211
Existing Customer,53,M,2,High School,Single,$120K +,Blue,44,4,2,2,14734.0,1634,0.989,1289,23,0.917,0.111
Existing Customer,57,M,2,College,Married,$60K - $80K,Blue,52,5,3,3,6584.0,1817,0.62,1353,35,0.667,0.276
Existing Customer,44,F,2,Uneducated,Single,Less than $40K,Blue,20,6,3,3,2084.0,1468,1.004,1132,28,0.556,0.704
Existing Customer,55,F,2,Graduate,Married,Less than $40K,Blue,42,5,3,3,2216.0,1034,0.758,1540,36,0.286,0.467
Existing Customer,54,M,1,Graduate,Unknown,$60K - $80K,Blue,43,4,2,3,2910.0,2030,0.769,1256,21,0.4,0.698
Existing Customer,42,M,5,Uneducated,Married,$80K - $120K,Blue,37,6,2,2,22913.0,1528,0.414,1394,35,0.522,0.067
Existing Customer,53,M,2,Graduate,Single,$80K - $120K,Blue,36,5,3,2,5272.0,1515,0.857,1289,33,0.435,0.287
Existing Customer,37,F,3,Uneducated,Single,Less than $40K,Blue,29,4,4,2,7038.0,1801,0.751,2339,57,0.966,0.256
Existing Customer,49,M,3,Graduate,Divorced,$60K - $80K,Blue,30,6,1,2,2536.0,1823,0.703,1468,23,0.353,0.719
Attrited Customer,55,F,4,Unknown,Married,$40K - $60K,Blue,45,2,4,3,2158.0,0,0.585,615,12,0.714,0.0
Existing Customer,59,F,1,Graduate,Married,Unknown,Blue,52,2,3,3,10133.0,1417,0.383,1068,20,0.818,0.14
Existing Customer,53,M,2,High School,Single,$120K +,Blue,35,4,2,1,19040.0,2056,0.607,1212,31,0.722,0.108
Existing Customer,43,F,3,Uneducated,Single,Less than $40K,Blue,35,5,2,3,4026.0,0,0.483,1237,32,0.6,0.0
Existing Customer,45,M,1,Graduate,Single,$40K - $60K,Blue,36,4,4,3,6576.0,0,0.579,1465,34,0.619,0.0
Existing Customer,53,M,0,Graduate,Single,$80K - $120K,Blue,42,5,4,1,2664.0,2037,0.85,1286,29,0.933,0.765
Existing Customer,45,M,3,Graduate,Married,$40K - $60K,Blue,35,5,4,2,3454.0,1200,0.597,1313,30,0.304,0.347
Existing Customer,53,M,3,Doctorate,Married,$40K - $60K,Blue,35,5,3,2,3789.0,1706,1.047,1609,42,0.68,0.45
Attrited Customer,47,M,2,Unknown,Married,$80K - $120K,Blue,37,2,3,3,5449.0,1628,0.696,836,18,0.385,0.299
Existing Customer,53,M,3,Graduate,Married,$120K +,Blue,34,6,2,2,2940.0,1264,0.562,1259,33,0.5,0.43
Existing Customer,43,F,4,Post-Graduate,Married,Less than $40K,Blue,33,2,3,3,8358.0,926,0.762,1566,37,0.542,0.111
Existing Customer,42,M,4,High School,Divorced,$60K - $80K,Blue,36,5,1,2,3263.0,1674,0.588,1251,35,0.346,0.513
Existing Customer,53,F,2,High School,Married,Less than $40K,Blue,44,3,2,3,5362.0,1901,0.816,1553,38,1.0,0.355
Existing Customer,47,F,3,High School,Single,$40K - $60K,Blue,41,4,3,3,3788.0,1540,0.566,1594,47,0.382,0.407
Existing Customer,47,M,3,Graduate,Single,$60K - $80K,Blue,36,4,2,2,2926.0,0,0.676,1304,24,0.846,0.0
Attrited Customer,53,M,2,Graduate,Married,$80K - $120K,Blue,41,3,3,2,11669.0,2227,0.622,720,23,0.353,0.191
Existing Customer,50,F,1,Uneducated,Unknown,Less than $40K,Silver,36,4,2,2,11888.0,2090,0.7,1137,30,0.765,0.176
Existing Customer,42,F,1,Graduate,Married,Less than $40K,Blue,36,5,1,2,2393.0,1985,0.788,978,16,0.778,0.83
Existing Customer,47,M,2,Doctorate,Single,Less than $40K,Blue,37,2,1,3,3235.0,797,0.541,1493,32,1.0,0.246
Existing Customer,53,M,2,High School,Divorced,$60K - $80K,Blue,36,5,3,2,7753.0,2100,0.839,991,26,0.733,0.271
Existing Customer,39,F,2,Post-Graduate,Single,Less than $40K,Blue,27,4,2,2,6205.0,2517,0.939,1204,19,0.727,0.406
Attrited Customer,48,F,5,High School,Married,Less than $40K,Blue,38,1,3,3,8025.0,0,0.654,673,18,0.8,0.0
Existing Customer,51,M,1,Unknown,Single,$120K +,Blue,42,6,2,3,9036.0,2327,0.649,1131,18,0.636,0.258
Existing Customer,59,F,1,Graduate,Single,Less than $40K,Blue,36,3,2,3,6335.0,1128,0.397,1217,20,0.667,0.178
Attrited Customer,59,M,1,College,Single,$60K - $80K,Blue,53,2,3,3,14979.0,0,0.71,530,10,1.0,0.0
Attrited Customer,48,F,4,Uneducated,Married,Less than $40K,Blue,38,3,2,3,2732.0,0,0.76,739,16,0.455,0.0
Existing Customer,41,M,2,High School,Married,$80K - $120K,Blue,24,4,1,3,9366.0,1104,0.572,1303,39,0.625,0.118
Existing Customer,50,F,1,Graduate,Single,$40K - $60K,Silver,31,2,2,3,18386.0,0,0.868,1298,22,0.571,0.0
Existing Customer,42,F,5,Unknown,Married,$40K - $60K,Blue,36,3,3,3,2038.0,0,0.786,1238,28,0.75,0.0
Existing Customer,49,M,1,Doctorate,Married,$120K +,Blue,38,6,1,3,9364.0,618,0.554,1099,27,0.8,0.066
Existing Customer,43,F,4,Graduate,Divorced,Less than $40K,Blue,34,2,3,1,3195.0,1954,0.971,1285,29,0.706,0.612
Existing Customer,56,M,0,High School,Married,$80K - $120K,Blue,43,5,2,1,2852.0,1024,1.009,1651,28,1.0,0.359
Existing Customer,59,F,1,College,Single,Unknown,Blue,36,2,3,3,4224.0,1305,0.852,1152,31,0.824,0.309
Existing Customer,51,F,3,Uneducated,Married,Less than $40K,Blue,43,3,1,2,2185.0,1761,0.682,1645,30,0.429,0.806
Existing Customer,53,M,3,High School,Married,$60K - $80K,Blue,47,5,2,2,1438.3,0,0.776,2184,53,0.828,0.0
Existing Customer,52,F,1,High School,Married,Less than $40K,Blue,45,6,3,3,6703.0,893,0.567,1388,28,0.75,0.133
Attrited Customer,53,M,2,Unknown,Married,$80K - $120K,Blue,36,2,2,1,3212.0,0,0.713,757,20,0.25,0.0
Existing Customer,41,F,3,High School,Married,$40K - $60K,Blue,36,4,1,2,9797.0,1434,0.644,1503,34,0.478,0.146
Existing Customer,45,F,5,Graduate,Divorced,$40K - $60K,Blue,36,5,2,2,10400.0,1777,0.791,1105,28,0.867,0.171
Existing Customer,59,F,1,Uneducated,Married,$40K - $60K,Blue,36,4,2,3,3356.0,985,0.35,999,28,0.556,0.294
Existing Customer,51,M,3,Graduate,Married,$80K - $120K,Blue,36,6,2,3,11106.0,2107,0.948,1243,24,1.0,0.19
Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,36,2,1,2,21331.0,1251,0.949,1460,50,1.083,0.059
Existing Customer,49,F,3,Uneducated,Single,Unknown,Blue,38,6,2,1,12860.0,0,0.646,1348,27,0.286,0.0
Existing Customer,50,F,2,High School,Married,Less than $40K,Blue,36,5,1,2,9355.0,1626,0.701,1230,28,0.867,0.174
Existing Customer,41,F,2,Post-Graduate,Married,Unknown,Blue,31,6,1,3,20758.0,0,0.688,1555,32,0.684,0.0
